ID_PRODUKT,ID_WNIOSKU ,NAZWA_PRODUKTU,KWOTA_WNIOSKOWANA,KWOTA_PRZYZNANA,ID_UMOWY,DATA_UMOWY,DATA_OD,DATA_DO
P0001,W000001,PEX,5000.00,,,,1/7/2023,1/10/2023
P0002,W000001,KKR,20000.00,,,,1/7/2023,1/10/2023
P0001,W000001,PEX,5000.00,5000.00,123456,1/11/2023,1/11/2023,12/31/9999
P0002,W000001,KKR,20000.00,20000.00,2345678,1/11/2023,1/11/2023,12/31/9999
P0003,W000002,HIPO,200000.00,,,,1/10/2023,1/15/2023
P0002,W000002,KKR,50000.00,,,,1/20/2023,1/22/2023
P0002,W000002,KKR,50000.00,40000.00,3456789,1/23/2023,1/23/2023,12/31/9999
P0003,W000002,HIPO,200000.00,200000.00,3456780,1/23/2023,1/23/2023,12/31/9999
P0001,W000003,PEX,10000.00,,,,1/23/2023,12/31/9999
P0001,W000004,PEX,5000.00,,,,2/2/2023,2/5/2023
P0002,W000004,KKR,15000.00,,,,2/2/2023,2/5/2023
P0004,W000004,RATY,5000.00,,,,2/2/2023,2/5/2023
P0001,W000004,PEX,4000.00,,,,2/6/2023,2/6/2023
P0002,W000004,KKR,10000.00,,,,2/6/2023,2/6/2023
P0004,W000004,RATY,6000.00,,,,2/6/2023,2/6/2023
P0001,W000004,PEX,4000.00,4000.00,3994028,2/7/2023,2/7/2023,12/31/9999
P0002,W000004,KKR,10000.00,10000.00,3892942,2/7/2023,2/7/2023,12/31/9999
P0004,W000004,RATY,6000.00,6000.00,4899238,2/7/2023,2/7/2023,12/31/9999
P0001,W000005,PEX,7000.00,7000.00,8399283,2/15/2023,2/15/2023,12/31/9999
P0004,W000005,RATY,3000.00,3000.00,3849928,2/15/2023,2/15/2023,12/31/9999
